Mode,Week Number,Year,Count
GT Operations,13,2019,"6,330"
GT Operations,14,2019,"6,260"
GT Operations,15,2019,"6,300"
GT Operations,16,2019,"6,310"
GT Operations,17,2019,"6,140"
GT Operations,18,2019,"6,560"
GT Operations,19,2019,"6,570"
GT Operations,20,2019,"6,840"
GT Operations,21,2019,"6,930"
GT Operations,22,2019,"6,540"
GT Operations,23,2019,"6,940"
GT Operations,24,2019,"7,100"
GT Operations,25,2019,"6,890"
GT Operations,26,2019,"7,100"
GT Operations,27,2019,"6,020"
GT Operations,28,2019,"7,080"
GT Operations,29,2019,"7,100"
GT Operations,30,2019,"7,070"
GT Operations,31,2019,"6,810"
GT Operations,32,2019,"6,740"
GT Operations,33,2019,"6,900"
GT Operations,34,2019,"6,870"
GT Operations,35,2019,"6,690"
GT Operations,36,2019,"6,260"
GT Operations,37,2019,"6,050"
GT Operations,38,2019,"7,000"
GT Operations,39,2019,"6,670"
GT Operations,40,2019,"6,180"
GT Operations,41,2019,"6,080"
GT Operations,42,2019,"6,390"
GT Operations,43,2019,"6,400"
GT Operations,44,2019,"5,540"
GT Operations,45,2019,"6,050"
GT Operations,46,2019,"6,030"
GT Operations,47,2019,"5,900"
GT Operations,48,2019,"4,770"
GT Operations,49,2019,"6,510"
GT Operations,50,2019,"5,930"
GT Operations,51,2019,"5,450"
GT Operations,52,2019,"4,990"
GT Operations,1,2020,"5,490"
GT Operations,2,2020,"5,590"
GT Operations,3,2020,"5,790"
GT Operations,4,2020,"5,540"
GT Operations,5,2020,"5,730"
GT Operations,6,2020,"5,580"
GT Operations,7,2020,"5,660"
GT Operations,8,2020,"5,620"
GT Operations,9,2020,"5,930"
GT Operations,10,2020,"4,810"
GT Operations,11,2020,"3,790"
GT Operations,12,2020,"2,150"
GT Operations,13,2020,"1,020"
GT Operations,14,2020,630
GT Operations,15,2020,500
GT Operations,16,2020,430
GT Operations,17,2020,460
GT Operations,18,2020,500
GT Operations,19,2020,590
GT Operations,20,2020,670
GT Operations,21,2020,810
GT Operations,22,2020,840
GT Operations,23,2020,960
GT Operations,24,2020,"1,060"
GT Operations,25,2020,"1,240"
GT Operations,26,2020,"1,440"
GT Operations,27,2020,"1,480"
GT Operations,28,2020,"1,550"
GT Operations,29,2020,"1,510"
GT Operations,30,2020,"1,510"
GT Operations,31,2020,"1,520"
GT Operations,32,2020,"1,540"
GT Operations,33,2020,"1,550"
GT Operations,34,2020,"1,620"
GT Operations,35,2020,"1,590"
GT Operations,36,2020,"1,720"
GT Operations,37,2020,"1,730"
GT Operations,38,2020,"1,710"
GT Operations,39,2020,"1,700"
GT Operations,40,2020,"1,740"
GT Operations,41,2020,"1,770"
GT Operations,42,2020,"1,850"
GT Operations,43,2020,"1,870"
GT Operations,44,2020,"1,840"
GT Operations,45,2020,"1,810"
GT Operations,46,2020,"1,830"
GT Operations,47,2020,"1,760"
GT Operations,48,2020,"1,620"
GT Operations,49,2020,"1,770"
GT Operations,50,2020,"1,490"
GT Operations,51,2020,"1,640"
GT Operations,52,2020,"1,730"
GT Operations,1,2021,"2,070"
GT Operations,2,2021,"1,900"
GT Operations,3,2021,"1,590"
GT Operations,4,2021,"1,530"
GT Operations,5,2021,"1,470"
GT Operations,6,2021,"1,560"
GT Operations,7,2021,"1,890"
GT Operations,8,2021,"2,230"
GT Operations,9,2021,"1,940"
GT Operations,10,2021,"1,980"
GT Operations,11,2021,"2,070"
GT Operations,12,2021,"2,360"
GT Operations,13,2021,"2,500"
GT Operations,14,2021,"2,630"
GT Operations,15,2021,"2,780"
GT Operations,16,2021,"2,910"
GT Operations,17,2021,"2,740"
GT Operations,18,2021,"2,770"
GT Operations,19,2021,"2,820"
GT Operations,20,2021,"2,970"
GT Operations,21,2021,"3,070"
GT Operations,22,2021,"3,220"
GT Operations,23,2021,"3,330"
GT Operations,24,2021,"3,430"
GT Operations,25,2021,"3,710"
GT Operations,26,2021,"3,940"
GT Operations,27,2021,"3,920"
GT Operations,28,2021,"3,980"
GT Operations,29,2021,"4,050"
GT Operations,30,2021,"4,220"
GT Operations,31,2021,"4,180"
GT Operations,32,2021,"4,220"
GT Operations,33,2021,"4,230"
GT Operations,34,2021,"4,310"
GT Operations,35,2021,"4,180"
GT Operations,36,2021,"4,100"
GT Operations,37,2021,"3,980"
GT Operations,38,2021,"3,980"
GT Operations,39,2021,"3,970"
GT Operations,40,2021,"3,830"
GT Operations,41,2021,"3,890"
GT Operations,42,2021,"3,940"
GT Operations,43,2021,"3,920"
GT Operations,44,2021,"3,830"
GT Operations,45,2021,"3,730"
GT Operations,46,2021,"3,810"
GT Operations,47,2021,"3,950"
GT Operations,48,2021,"3,440"
GT Operations,49,2021,"4,240"
GT Operations,50,2021,"3,720"
GT Operations,51,2021,"3,790"
GT Operations,52,2021,"3,480"
GT Operations,1,2022,"4,160"
GT Operations,2,2022,"3,940"
GT Operations,3,2022,"3,140"
GT Operations,4,2022,"2,990"
GT Operations,5,2022,"3,080"
GT Operations,6,2022,"3,090"
GT Operations,7,2022,"3,230"
GT Operations,8,2022,"3,630"
GT Operations,9,2022,"4,060"
GT Operations,10,2022,"4,070"
GT Operations,11,2022,"3,960"
GT Operations,12,2022,"4,030"
GT Operations,13,2022,"4,250"
GT Operations,14,2022,"4,530"
GT Operations,15,2022,"4,610"
GT Operations,16,2022,"4,680"
GT Operations,17,2022,"4,750"
GT Operations,18,2022,"4,750"
GT Operations,19,2022,"4,870"
GT Operations,20,2022,"4,980"
GT Operations,21,2022,5240
